file_name,is_blur,blur_value
2Pb3KXKX0RK0rSIIS4tkyipo22G-WhatsApp Image 2023-05-10 at 08.08.01 (1).jpeg,false,60.24369353062151
2Pb3OFNq9NL1zQXVHiP1rodtIdz-WhatsApp Image 2023-05-10 at 08.09.50.jpeg,true,31.790713033254836
2Pa0B9GsTSwqGIyj0GFZxRHxWrq-WhatsApp Image 2023-05-08 at 21.05.28 (1).jpeg,true,23.403088277485953
2PWznfhQOtNpbTUjAGaLPrluwp2-WhatsApp Image 2023-05-08 at 21.57.07.jpeg,false,51.29787409407798
2PX027Hb1bwclxin8gt5rOejtQt-WhatsApp Image 2023-05-08 at 21.17.17.jpeg,true,4.033644129961932
2PWzZPBmHSoVnYZYF9qiUvjuhga-WhatsApp Image 2023-05-08 at 21.20.34.jpeg,true,32.81523935062035
2PX024rZVNb9ekdTHLGKT9w9xlY-WhatsApp Image 2023-05-08 at 21.17.17 (1).jpeg,true,18.295293538934125
2Pa0UrzEdhUUXn7lL34Jm1Gn6qo-WhatsApp Image 2023-05-09 at 21.09.28.jpeg,false,86.08694896686204
2Pa0aNeR0DloI0UetWB9CYfZ9R0-WhatsApp Image 2023-05-09 at 21.15.56.jpeg,false,136.01505816191164
2Pa0BBJD80tWr5IQtVq6KjHWmd7-WhatsApp Image 2023-05-08 at 21.05.28.jpeg,false,52.33759449754884
2PahLGoyIOqnLUxAjVy443CkLlb-WhatsApp Image 2023-05-09 at 19.18.46.jpeg,false,196.82886204996447
2Pad6zKpc8RouZp45ApCVVMV2Qn-WhatsApp Image 2023-05-10 at 08.59.49.jpeg,false,152.25626250909409
2Pafij0MOsfICBEsZBSxV90xELS-WhatsApp Image 2023-05-09 at 19.18.35.jpeg,false,135.51794132463527
2PacvmSfA7Y6ViV0ssr2frW9iSO-WhatsApp Image 2023-05-10 at 08.58.59.jpeg,false,167.8843144841553
2PacbzEnopC1zhdxvLkUXAbZsns-WhatsApp Image 2023-05-10 at 08.58.25.jpeg,false,215.83217493452278
2Pag9wXtU5gIKtxmm0ryNIcqtyL-WhatsApp Image 2023-05-09 at 18.37.03.jpeg,false,156.3254833752225
2PadILE5szllcsOEJeqyBA2DWOn-WhatsApp Image 2023-05-10 at 09.00.32.jpeg,false,158.66807423846166
2PacSUGlCOkssoqTWG6g7vWvjig-WhatsApp Image 2023-05-10 at 08.57.50.jpeg,false,155.02190886560615
2PafyLPahylyrQxx3utU6vP42vA-WhatsApp Image 2023-05-09 at 18.36.53.jpeg,false,183.36384450845395
2PWwalS4C1TnVmQ0bR1KGiPqNJY-WhatsApp Image 2023-05-08 at 13.37.01.jpeg,false,86.74821978483405
2PXimZ8aNyKNuqdUZRgmNWkV5nq-WhatsApp Image 2023-05-09 at 12.15.33.jpeg,true,16.85146592384503
2PaDhPmCsy348nz2Ez1VY64oPRP-IMG-20230510-WA0013.jpg,true,5.687931811016589
2Pa0ONgWltfXkrsw2BDTOGjG8Lo-WhatsApp Image 2023-05-09 at 21.12.40.jpeg,true,15.059058803748636
2Pa0aRaxcrKZCjM5bV0I8JgWjsM-WhatsApp Image 2023-05-09 at 21.15.56 (1).jpeg,false,86.76066858254082
2Pa0Unq347pM1eKgOqGFOUvYBcP-WhatsApp Image 2023-05-09 at 21.09.27.jpeg,false,279.0385779038808
2Pa0iDeSSYy4zOLXmHqHhJ4hKRe-WhatsApp Image 2023-05-09 at 21.07.51.jpeg,false,192.11509327816108
2PbLwXlIwJSVhX3mHQh9DMnZs5x-WhatsApp Image 2023-05-10 at 18.22.50.jpeg,true,7.775166129014486
2Pa0OGtwlQkp1PjnsnefcAPjdmq-WhatsApp Image 2023-05-09 at 21.12.39.jpeg,false,118.03499127875266
2PWznlUL7LxHioaWYCsB9tXIv78-WhatsApp Image 2023-05-08 at 21.57.06.jpeg,false,945.4453787745455
2PX0dlE0sLpALRAQsqndCYnbnvn-WhatsApp Image 2023-05-08 at 21.19.15.jpeg,false,244.01134778163868
2PWzZd9zp4G0Owzg3RFEMCk11nb-WhatsApp Image 2023-05-08 at 21.20.33.jpeg,false,51.20449821000223
